State,Dem 16 Margin
ALABAMA,-27.70%
ALASKA,-14.70%
ARIZONA,-3.50%
ARKANSAS,-26.90%
CALIFORNIA,30.10%
COLORADO,4.90%
CONNECTICUT,13.60%
DELAWARE,11.40%
DISTRICT OF COLUMBIA,86.80%
FLORIDA,-1.20%
GEORGIA,-5.20%
HAWAII,32.20%
IDAHO,-31.80%
ILLINOIS,17.10%
INDIANA,-19.20%
IOWA,-9.40%
KANSAS,-20.60%
KENTUCKY,-29.80%
LOUISIANA,-19.60%
MAINE,3.00%
MARYLAND,26.40%
MASSACHUSETTS,27.20%
MICHIGAN,-0.20%
MINNESOTA,1.50%
MISSISSIPPI,-17.80%
MISSOURI,-18.60%
MONTANA,-20.40%
NEBRASKA,-25.00%
NEVADA,2.40%
NEW HAMPSHIRE,0.40%
NEW JERSEY,14.10%
NEW MEXICO,8.20%
NEW YORK,22.50%
NORTH CAROLINA,-3.70%
NORTH DAKOTA,-35.70%
OHIO,-8.10%
OKLAHOMA,-36.40%
OREGON,11.00%
PENNSYLVANIA,-0.70%
RHODE ISLAND,15.50%
SOUTH CAROLINA,-14.30%
SOUTH DAKOTA,-29.80%
TENNESSEE,-26.00%
TEXAS,-9.00%
UTAH,-18.10%
VERMONT,26.40%
VIRGINIA,5.30%
WASHINGTON,15.50%
WEST VIRGINIA,-42.20%
WISCONSIN,-0.80%
WYOMING,-46.30%
